graph,attacker,defender,seed,nodes,edges,actual_density,density_parameter,attack_budget,defense_budget,attack_multiplier,rounds_requested,rounds_played,initial_length,final_length,total_damage,mean_round_damage,max_round_damage,mean_damage_ratio,final_damage_ratio,total_attacked_edges,unique_attacked_edges,mean_protected_edges,runtime_seconds
"Erdos-Renyi G(n,p)",Random,None,0,5,4,0.4,0.35,1,0,3.0,3,3,9,9,0,0.0,0,1.0,1.0,3,3,0.0,0.0007
"Erdos-Renyi G(n,p)",Random,None,0,5,4,0.4,0.35,1,2,3.0,3,3,9,27.0,18.0,6.0,18.0,1.6666666666666667,3.0,3,3,0.0,0.0002
"Erdos-Renyi G(n,p)",Random,None,0,5,4,0.4,0.35,2,0,3.0,3,3,9,27.0,18.0,6.0,18.0,1.6666666666666667,3.0,4,4,0.0,0.0002
"Erdos-Renyi G(n,p)",Random,None,0,5,4,0.4,0.35,2,2,3.0,3,3,9,27.0,18.0,6.0,18.0,1.6666666666666667,3.0,4,4,0.0,0.0002
"Erdos-Renyi G(n,p)",Random,None,1,5,4,0.4,0.35,1,0,3.0,3,3,10,30.0,20.0,6.666666666666667,20.0,1.6666666666666667,3.0,3,3,0.0,0.0002
"Erdos-Renyi G(n,p)",Random,None,1,5,4,0.4,0.35,1,2,3.0,3,3,10,30.0,20.0,6.666666666666667,20.0,1.6666666666666667,3.0,3,3,0.0,0.0003
"Erdos-Renyi G(n,p)",Random,None,1,5,4,0.4,0.35,2,0,3.0,3,3,10,30.0,20.0,6.666666666666667,20.0,1.6666666666666667,3.0,4,4,0.0,0.0002
"Erdos-Renyi G(n,p)",Random,None,1,5,4,0.4,0.35,2,2,3.0,3,3,10,30.0,20.0,6.666666666666667,20.0,1.6666666666666667,3.0,4,4,0.0,0.0003
"Erdos-Renyi G(n,p)",Random,None,0,10,11,0.2444,0.35,1,0,3.0,3,3,17,20,3,1.0,3,1.0588235294117647,1.1764705882352942,3,3,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,0,10,11,0.2444,0.35,1,2,3.0,3,3,17,17,0,0.0,0,1.0,1.0,3,3,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,0,10,11,0.2444,0.35,2,0,3.0,3,3,17,34.0,17.0,5.666666666666667,17.0,1.3333333333333333,2.0,6,6,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,0,10,11,0.2444,0.35,2,2,3.0,3,3,17,46.0,29.0,9.666666666666666,15.0,1.4034471853257433,2.7058823529411766,6,6,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,1,10,19,0.4222,0.35,1,0,3.0,3,3,2,2,0,0.0,0,1.0,1.0,3,3,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,1,10,19,0.4222,0.35,1,2,3.0,3,3,2,2,0,0.0,0,1.0,1.0,3,3,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,None,1,10,19,0.4222,0.35,2,0,3.0,3,3,2,2,0,0.0,0,1.0,1.0,6,6,0.0,0.0006
"Erdos-Renyi G(n,p)",Random,None,1,10,19,0.4222,0.35,2,2,3.0,3,3,2,6.0,4.0,1.3333333333333333,4.0,1.6666666666666667,3.0,6,6,0.0,0.0005
"Erdos-Renyi G(n,p)",Random,Random,0,5,4,0.4,0.35,1,0,3.0,3,3,9,27.0,18.0,6.0,18.0,1.6666666666666667,3.0,3,3,0.0,0.0002
