attacker,defender,games,attacker_wins,defender_wins,attacker_win_rate,mean_total_damage,mean_final_damage_ratio,mean_edges
Greedy,Centrality,80,50,30,0.625,10.5625,2.0133,10.25
Greedy,Greedy,80,52,28,0.65,11.85,2.092,10.25
Greedy,None,80,80,0,1.0,16.65,2.7961,10.25
Greedy,Random,80,77,3,0.9625,16.1125,2.7187,10.25
Random,Centrality,80,29,51,0.3625,6.9875,1.5673,10.25
Random,Greedy,80,29,51,0.3625,6.8375,1.5903,10.25
Random,None,80,48,32,0.6,10.3125,2.0503,10.25
Random,Random,80,47,33,0.5875,10.1375,1.9925,10.25
Shortest path,Centrality,80,49,31,0.6125,10.0125,1.9795,10.25
Shortest path,Greedy,80,51,29,0.6375,11.0,2.0488,10.25
Shortest path,None,80,78,2,0.975,15.325,2.7185,10.25
Shortest path,Random,80,76,4,0.95,14.7375,2.6438,10.25
